Time resolution is 1 ps
Time =                    0 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Time =                 5000 | clk = 1 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Time =                10000 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Time =                15000 | clk = 1 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                20000 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                25000 | clk = 1 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                30000 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                35000 | clk = 1 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                40000 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                45000 | clk = 1 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                50000 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                55000 | clk = 1 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                60000 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                65000 | clk = 1 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                70000 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                75000 | clk = 1 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                80000 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                85000 | clk = 1 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                90000 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =                95000 | clk = 1 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =               100000 | clk = 0 | control = 1 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =               105000 | clk = 1 | control = 0 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =               110000 | clk = 0 | control = 0 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =               115000 | clk = 1 | control = 0 | data_arr = 00000000 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =               120000 | clk = 0 | control = 0 | data_arr = 01020304 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =               125000 | clk = 1 | control = 0 | data_arr = 01020304 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =               130000 | clk = 0 | control = 0 | data_arr = 05060708 | wt_arr = 01020304 | acc_out = 00000000000000000000000000000000
Time =               135000 | clk = 1 | control = 0 | data_arr = 05060708 | wt_arr = 01020304 | acc_out = 00000000000000020000000000000004
Time =               140000 | clk = 0 | control = 0 | data_arr = 090a0b0c | wt_arr = 01020304 | acc_out = 00000000000000020000000000000004
Time =               145000 | clk = 1 | control = 0 | data_arr = 090a0b0c | wt_arr = 01020304 | acc_out = 000000010000000a000000030000001c
Time =               150000 | clk = 0 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 000000010000000a000000030000001c
Time =               155000 | clk = 1 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 00000005000000120000001500000048
Time =               160000 | clk = 0 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 00000005000000120000001500000048
Time =               165000 | clk = 1 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 000000090000001e0000003600000088
Time =               170000 | clk = 0 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 000000090000001e0000003600000088
Time =               175000 | clk = 1 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 0000000f0000002c00000066000000b8
Time =               180000 | clk = 0 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 0000000f0000002c00000066000000b8
Time =               185000 | clk = 1 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 00000016000000440000008a000000d8
Time =               190000 | clk = 0 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 00000016000000440000008a000000d8
Time =               195000 | clk = 1 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 000000220000005c000000a2000000e8
Time =               200000 | clk = 0 | control = 0 | data_arr = 0d0e0f10 | wt_arr = 01020304 | acc_out = 000000220000005c000000a2000000e8
$finish called at time : 205 ns : File "C:/Users/arnav/fp_ws_systolic/fp_ws_systolic.srcs/sim_1/new/tb_fp4x4.v" Line 55
