Time resolution is 1 ps
Time =                    0 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = xxxxxxxx
Time =                 5000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = xxxxxxxx
Time =                10000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = xxxxxxxx
Time =                15000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                20000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                25000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                30000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                35000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                40000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                45000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                50000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                55000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                60000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                65000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                70000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                75000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                80000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                85000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                90000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =                95000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               100000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               105000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               110000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               115000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               120000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               125000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
